,_unit_id,bodygraph,decision,modified bodygraph,new decision
200,1702137097,"A statement from Netanyahu 's office said the apology included an offer of compensation . However , there was confusion later when the Israeli government dropped a reference in its original statement to normalized relations between the countries with a return of ambassadors .",before,A statement from Netanyahu 's office said the apology included an offer of compensation . There was confusion earlier when the Israeli government dropped a reference to normalized relations between the countries with a return of ambassadors .,after
332,1702137056,The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter .,after,The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been predicted to shutter .,after 
81,1702136936,"A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday , Nassau County District Attorney Kathleen Rice announced .",before,"Nassau County District Attorney Kathleen Rice announced , a New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday .",after
237,1702137361,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time . The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel .",before,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after
341,1702137457,"While serving as head of TNK-BP , Bob Dudley - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems .",before,"Before serving as head of TNK-BP , Bob Dudley - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems .",after 
358,1702137087,"President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla . The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East .",before,"The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East . The apology was for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla .",after 
383,1702137705,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"This year (2012) , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress . Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military .",after 
96,1702137431,BP agreed to sell back its 50 % stake in TNK-BP to Russia 's Rosneft in October in return for $17.1bn in cash and shares . It invested in TNK-BP in 2003 .,after,BP invested in TNK-BP in 2003 . BP agreed to sell back its 50 % stake in TNK-BP to Russia 's Rosneft in October in return for $17.1bn in cash and shares .,before
48,1702137126,""" No one knows what technology will be available in five years , "" said Allan Friedman , Duke University Hospital neurosurgeon in chief , who in 2011 removed as much of Leon 's brain tumor as possible .",after,"Allan Friedman , Duke University Hospital neurosurgeon in chief , who in 2011 removed as much of Leon 's brain tumor as possible, said "" No one knows what technology will be available in five years. """,before
173,1702137734,"But if it performs as Lockheed and D-Wave expect , the design could be used to supercharge even the most powerful systems , solving some science and business problems millions of times faster than can be done today . Ray Johnson , Lockheeds chief technical officer , said his company would use the quantum computer to create and test complex radar , space and aircraft systems .",after,"Ray Johnson , Lockheeds chief technical officer , said his company would use the quantum computer to create and test complex radar , space and aircraft systems . If it performs as Lockheed and D-Wave expect , the design could be used to supercharge even the most powerful systems , solving some science and business problems millions of times faster than can be done today .",before
